,factor,sigma,std
2024,1.412020202020202,0.10454545454545454,0.10219066738490963
2025,1.412020202020202,0.10848484848484849,0.10646895217825773
2026,1.412020202020202,0.11242424242424243,0.11078024783226843
2027,1.412020202020202,0.11636363636363636,0.11670121085789717
2028,1.412020202020202,0.1203030303030303,0.12220417087512421
2029,1.412020202020202,0.12424242424242424,0.1256536965599911
2030,1.412020202020202,0.1281818181818182,0.13423450838107523
2031,1.412020202020202,0.13212121212121214,0.1337126437272925
2032,1.412020202020202,0.13606060606060608,0.1389058891681992
2033,1.412020202020202,0.14,0.14076209681883717
2034,1.412020202020202,0.14393939393939395,0.14987071066708824
2035,1.412020202020202,0.1478787878787879,0.15649315787758006
2036,1.412020202020202,0.15181818181818182,0.15942810747297415
2037,1.412020202020202,0.15575757575757576,0.1639660575097326
2038,1.412020202020202,0.15969696969696973,0.17139296401408094
2039,1.412020202020202,0.16363636363636366,0.1745026156678712
2040,1.412020202020202,0.1675757575757576,0.1864821583062836
2041,1.412020202020202,0.17151515151515154,0.18475207769387544
2042,1.412020202020202,0.17545454545454547,0.19040442206189126
2043,1.412020202020202,0.1793939393939394,0.19951860799795476
2044,1.412020202020202,0.18333333333333335,0.2030715391893651
2045,1.412020202020202,0.18727272727272729,0.2066190359596863
2046,1.412020202020202,0.19121212121212122,0.21275375851291764
2047,1.412020202020202,0.19515151515151516,0.21645460206023853
2048,1.412020202020202,0.1990909090909091,0.2282023762409102
2049,1.412020202020202,0.20303030303030306,0.23825410235886704
2050,1.412020202020202,0.206969696969697,0.24620530065443264
2051,1.412020202020202,0.21090909090909093,0.2639337506084142
2052,1.412020202020202,0.21484848484848487,0.2649091429366154
2053,1.412020202020202,0.2187878787878788,0.2620169940011162
2054,1.412020202020202,0.22272727272727275,0.273679943293632
2055,1.412020202020202,0.22666666666666668,0.2825686994448017
2056,1.412020202020202,0.23060606060606062,0.27187730782438807
2057,1.412020202020202,0.23454545454545456,0.29110206710972575
2058,1.412020202020202,0.2384848484848485,0.3202995430185851
2059,1.412020202020202,0.24242424242424246,0.318378929335924
2060,1.412020202020202,0.2463636363636364,0.2958588870970632
2061,1.412020202020202,0.2503030303030303,0.3245107365804173
2062,1.412020202020202,0.25424242424242427,0.34902340407217275
2063,1.412020202020202,0.2581818181818182,0.3393422969378142
2064,1.412020202020202,0.26212121212121214,0.35451682618262453
2065,1.412020202020202,0.2660606060606061,0.3597332647574021
2066,1.412020202020202,0.27,0.3617764737169632
2067,1.412020202020202,0.273939393939394,0.3670223730073531
2068,1.412020202020202,0.2778787878787879,0.4051582468956893
2069,1.412020202020202,0.28181818181818186,0.41307799791175803
2070,1.412020202020202,0.28575757575757577,0.4074450029368476
2071,1.412020202020202,0.28969696969696973,0.4242100795876908
2072,1.412020202020202,0.29363636363636364,0.41704884453775154
2073,1.412020202020202,0.2975757575757576,0.4173616547987872
2074,1.412020202020202,0.3015151515151515,0.4421177764517354
2075,1.412020202020202,0.3054545454545455,0.44905899314783854
2076,1.412020202020202,0.30939393939393944,0.45585431509855173
2077,1.412020202020202,0.31333333333333335,0.5175159431901245
2078,1.412020202020202,0.3172727272727273,0.4988316724855063
2079,1.412020202020202,0.3212121212121212,0.48989059602056995
2080,1.412020202020202,0.3251515151515152,0.4784388941469952
2081,1.412020202020202,0.3290909090909091,0.5173681866305031
2082,1.412020202020202,0.33303030303030307,0.551390832176715
2083,1.412020202020202,0.336969696969697,0.4818838333984035
2084,1.412020202020202,0.34090909090909094,0.5194592683889294
2085,1.412020202020202,0.34484848484848485,0.5704742788597283
2086,1.412020202020202,0.3487878787878788,0.6574968344799149
2087,1.412020202020202,0.3527272727272728,0.5783333396767727
2088,1.412020202020202,0.3566666666666667,0.6259383635329148
2089,1.412020202020202,0.36060606060606065,0.6605161373184013
2090,1.412020202020202,0.36454545454545456,0.7154845713997938
2091,1.412020202020202,0.3684848484848485,0.6307929607493087
2092,1.412020202020202,0.37242424242424244,0.7209633953873761
2093,1.412020202020202,0.3763636363636364,0.6945782158893737
2094,1.412020202020202,0.3803030303030303,0.7839644238450391
2095,1.412020202020202,0.3842424242424243,0.7583568485951712
2096,1.412020202020202,0.3881818181818182,0.7234425569747409
2097,1.412020202020202,0.39212121212121215,0.6714683626496258
2098,1.412020202020202,0.3960606060606061,0.7431802008466847
2099,1.412020202020202,0.4,0.8109671916040816
2100,1.4321212121212121,0.01,0.009685131284144199
2101,1.4321212121212121,0.013939393939393939,0.013336298777298633
2102,1.4321212121212121,0.01787878787878788,0.017334571886597493
2103,1.4321212121212121,0.02181818181818182,0.021121429557160554
2104,1.4321212121212121,0.025757575757575757,0.02510972108001735
2105,1.4321212121212121,0.0296969696969697,0.028800768122556487
2106,1.4321212121212121,0.03363636363636364,0.03294020420515793
2107,1.4321212121212121,0.037575757575757575,0.03686733015224559
2108,1.4321212121212121,0.04151515151515152,0.04074616167114521
2109,1.4321212121212121,0.045454545454545456,0.04436141669315172
2110,1.4321212121212121,0.0493939393939394,0.04861612272963257
2111,1.4321212121212121,0.05333333333333334,0.05243384460976669
2112,1.4321212121212121,0.057272727272727274,0.05642041687085005
2113,1.4321212121212121,0.06121212121212122,0.0614995269621089
2114,1.4321212121212121,0.06515151515151515,0.06477556398178697
2115,1.4321212121212121,0.06909090909090909,0.06778137470241838
2116,1.4321212121212121,0.07303030303030303,0.0729670021367975
2117,1.4321212121212121,0.07696969696969697,0.07684906687160356
2118,1.4321212121212121,0.0809090909090909,0.08155557111207498
2119,1.4321212121212121,0.08484848484848485,0.08526169500281734
2120,1.4321212121212121,0.08878787878787879,0.08811377873164572
2121,1.4321212121212121,0.09272727272727273,0.09453374470481433
2122,1.4321212121212121,0.09666666666666666,0.10032418785371981
2123,1.4321212121212121,0.1006060606060606,0.10317083949816687
2124,1.4321212121212121,0.10454545454545454,0.10907903725354766
2125,1.4321212121212121,0.10848484848484849,0.11355276780987594
2126,1.4321212121212121,0.11242424242424243,0.11476128275922799
2127,1.4321212121212121,0.11636363636363636,0.12243756569333052
2128,1.4321212121212121,0.1203030303030303,0.12924320718130147
2129,1.4321212121212121,0.12424242424242424,0.13346268689846325
2130,1.4321212121212121,0.1281818181818182,0.14011960243724128
2131,1.4321212121212121,0.13212121212121214,0.13604007370968715
2132,1.4321212121212121,0.13606060606060608,0.14540570839715639
2133,1.4321212121212121,0.14,0.15078300553101134
